"Keyword","Category","imp_level1_category_1d","pv_level1_category_1d","order_level1_category_1d"
"máy hút sữa rảnh tay","Mẹ & Bé","Moms, Kids & Babies","Moms, Kids & Babies",
"ô trong suốt","Thể Thao & Du Lịch","Home & Living","Fashion Accessories","Home & Living"
"áo khoác local brand","Thời Trang Nữ","Men Clothes","Men Clothes","Men Clothes"
"kẹo marshmallow","Bách Hoá Online","Grocery","Grocery","Grocery"
"son herorange","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"trà thải độc","Bách Hóa Online","Grocery","Grocery","Grocery"
"khuôn bánh chưng","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"serum balance vitamin c","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"kẹo lạc","Bách Hóa Online","Grocery","Grocery",
"elasten collagen","Sức Khỏe & Sắc Đẹp",,"Health & Beauty",
"chân gà sả tắc","Bách Hóa Online","Grocery","Grocery",
"sâm tố nữ","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"urgotul","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"áo lá học sinh","Thời Trang Nữ","Women Clothes","Women Clothes","Women Clothes"
"nhiệt kế hông ngoại","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"khóa smartkey","Ô tô - xe máy - xe đạp","Automotive","Automotive",
"sách sức mạnh tiềm thức","Nhà Sách Online","Books","Books","Books"
"tẩy trang byphasse","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"doctor magic","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"thảo mộc tiến hạnh","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"tủ nhựa giá rẻ","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"non the thao","Phụ Kiện Thời Trang","Fashion Accessories","Men Clothes",
"nhất chi mai","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"nhất chi mai","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"giày dép nữ","Giày Dép Nữ","Women Shoes","Women Shoes","Women Shoes"
"the ordinary niacinamide 10 zinc 1","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"the ordinary niacinamide 10 zinc 1","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"giường pallet gỗ","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"dưỡng mi revitalash","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"laptopno1","Thiết Bị Điện Tử",,"Computer & Laptop",
"cường lực chống trộm","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories","Mobile & Accessories"
"thuốc đuổi rắn","Nhà Cửa & Đời Sống","Home care","Home care",
"thuốc đuổi rắn","Nhà Cửa & Đời Sống","Home care","Home care",
"luffy wano","Nhà Sách Online","Toys","Toys",
"máy kích cá","Máy tính & Laptop",,"Others",
"đàn ông sao hỏa đàn bà sao kim","Nhà Sách Online","Books","Books","Books"
"goldlion","Túi Ví","Bags","Men Clothes",
"rèm tổ ong","Nhà Cửa & Đời Sống","Home & Living",,
"sốc lọ","Thể Thao & Du Lịch","Home & Living",,
"sốc lọ","Thể Thao & Du Lịch","Home & Living",,
"xoanstore","Điện Thoại & Phụ Kiện","Mobile & Accessories","Consumer Electronics",
"xịt mũi betadine","Sức Khỏe & Sắc Đẹp","Moms, Kids & Babies","Moms, Kids & Babies","Moms, Kids & Babies"
"drone x pro","Máy ảnh - Máy quay phim","Toys",,
"siro chó mèo","Chăm sóc thú cưng","Moms, Kids & Babies","Moms, Kids & Babies","Health & Beauty"
"siro chó mèo","Chăm sóc thú cưng","Moms, Kids & Babies","Moms, Kids & Babies","Health & Beauty"
"hình dán cute","Nhà Sách Online","Books","Books","Books"
"hình dán cute","Nhà Sách Online","Books","Books","Books"
"hình dán cute","Nhà Sách Online","Books","Books","Books"
"hình dán cute","Nhà Sách Online","Books","Books","Books"
"đồ ngủ nữ gợi cảm","Thời Trang Nữ","Women Clothes","Women Clothes",
"dép chaco","Giày Dép Nam","Men Shoes","Men Shoes","Men Shoes"
"dép chaco","Giày Dép Nam","Men Shoes","Men Shoes","Men Shoes"
"máy đấm lưng","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"màn xếp thông minh","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"màn xếp thông minh","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"màn xếp thông minh","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"laptop cũ giá rẻ","Máy tính & Laptop","Computer & Laptop","Computer & Laptop",
"hình gián","Nhà Sách Online",,"Toys",
"hình gián","Nhà Sách Online",,"Toys",
"đá nham thạch","Chăm sóc thú cưng","Pet Supplies","Pet Supplies","Pet Supplies"
"defferin","Sức Khỏe & Sắc Đẹp","Health & Beauty",,
"bếp từ bosch","Thiết Bị Điện Gia Dụng","Home Appliances","Home Appliances",
"kèn harmonica","Đồ Chơi","Books","Books","Books"
"aiko chan","Thời Trang Trẻ Em","Men Clothes","Kid's Fashion",
"máy nghe lén","Thiết Bị Điện Tử","Consumer Electronics","Consumer Electronics","Automotive"
"giuong tang","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"kem ac thái","Sức Khỏe & Sắc Đẹp","Health & Beauty",,
"kem ac thái","Sức Khỏe & Sắc Đẹp","Health & Beauty",,
"tượng phi hành gia","Đồ Chơi","Home & Living","Home & Living",
"giá treo quần áo","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"pijama nam","Thời Trang Nam","Men Clothes","Men Clothes","Men Clothes"
"dong ho thong minh","Điện Thoại & Phụ Kiện","Consumer Electronics","Consumer Electronics","Consumer Electronics"
"niềng răng trong suốt","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"kiếm nhựa đồ chơi","Mẹ & Bé","Toys","Toys",
"người giàu có nhất thành babylon","Nhà Sách Online","Books","Books",
"tời điện 500kg","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"giay a4","Nhà Sách Online","Books","Books",
"la dy","Phụ Kiện Thời Trang","Women Clothes","Women Clothes",
"la dy","Phụ Kiện Thời Trang","Women Clothes","Women Clothes",
"la dy","Phụ Kiện Thời Trang","Women Clothes","Women Clothes",
"giày đi mưa nam","Giày Dép Nam","Men Shoes","Men Shoes",
"giảm mỡ bụng","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Grocery"
"ngựa bập bênh","Mẹ & Bé","Toys","Toys","Toys"
"dán màn hình laptop","Máy tính & Laptop","Computer & Laptop","Computer & Laptop",
"giày thể thao nam","Giày Dép Nam","Men Shoes","Men Shoes","Men Shoes"
"giày thể thao nam","Giày Dép Nam","Men Shoes","Men Shoes","Men Shoes"
"giày thể thao nam","Giày Dép Nam","Men Shoes","Men Shoes","Men Shoes"
"giày thể thao nam","Giày Dép Nam","Men Shoes","Men Shoes","Men Shoes"
"s8 active","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"ip 11 pro max","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"móng đẹp","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"móng đẹp","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"xe đạp giá rẻ","Thể Thao & Du Lịch","Automotive","Automotive",
"veppa","Thời Trang Nữ","Automotive",,
"veppa","Thời Trang Nữ","Automotive",,
"đèn trang trí phòng khách","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"quà tặng","Nhà Sách Online","Books","Books",
"1080","Điện Thoại & Phụ Kiện","Computer & Laptop","Computer & Laptop",
"1080","Điện Thoại & Phụ Kiện","Computer & Laptop","Computer & Laptop",
"1080","Điện Thoại & Phụ Kiện","Computer & Laptop","Computer & Laptop",
"1080","Platform Terms (Shopee/ Lazada)","Computer & Laptop","Computer & Laptop",
"1080","Thời Trang Nữ","Computer & Laptop","Computer & Laptop",
"1080","Điện Thoại & Phụ Kiện","Computer & Laptop","Computer & Laptop",
"your name","Nhà Sách Online","Books","Books","Fashion Accessories"
"nến sinh nhật","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"dầu tràm","Mẹ & Bé","Home & Living","Home & Living","Home & Living"
"chân váy ngắn","Thời Trang Nữ","Women Clothes","Women Clothes","Women Clothes"
"đèn led sân vườn","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"bể thuỷ sinh","Chăm sóc thú cưng","Pet Supplies","Pet Supplies",
"bài","Đồ Chơi","Toys","Toys","Toys"
"son dưỡng môi vaseline","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"cặp số","Túi Ví","Bags","Sports & Outdoors",
"đèn xe đạp thể thao","Ô tô - xe máy - xe đạp","Sports & Outdoors","Automotive","Automotive"
"nước hoa hồng mamonde","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"ác quy 12v","Ô tô - xe máy - xe đạp","Automotive","Automotive",
"pin 21700","Thiết Bị Điện Gia Dụng","Home & Living","Home & Living","Home & Living"
"happy birthday","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"quần áo đi chùa","Thời Trang Nữ","Women Clothes","Women Clothes",
"hộp chống ẩm","Máy ảnh - Máy quay phim","Cameras","Cameras",
"seeson","Phụ Kiện Thời Trang","Men Shoes","Fashion Accessories",
"hải sản tươi sống","Bách Hoá Online","Grocery",,
"sơn thạch nail","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"jordan dior","Giày Dép Nữ","Women Shoes","Women Shoes","Women Shoes"
"giường gỗ giá rẻ","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"áo khoác nike","Thời Trang Nữ","Men Clothes","Men Clothes","Men Clothes"
"freeline","Others","Sports & Outdoors","Sports & Outdoors",
"freeline","Others","Sports & Outdoors","Sports & Outdoors",
"bomber","Thời Trang Nam","Women Clothes","Women Clothes","Women Clothes"
"boot cổ ngắn","Giày Dép Nữ","Women Shoes","Women Shoes","Women Shoes"
"boot cổ ngắn","Giày Dép Nữ","Women Shoes","Women Shoes","Women Shoes"
"giấy gấu trúc","Nhà Cửa & Đời Sống","Home care","Home care","Home care"
"xe máy xúc","Đồ Chơi","Toys","Toys",
"tv xiaomi","Thiết Bị Điện Gia Dụng","Consumer Electronics","Consumer Electronics",
"áo vest nữ công sở","Thời Trang Nữ","Women Clothes","Women Clothes","Women Clothes"
"ghế hơi","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"bột thông cống","Nhà Cửa & Đời Sống","Home care","Home care","Home care"
"mô hình xe","Đồ Chơi","Toys","Toys",
"nệm đơn","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"set thú","Nhà Cửa & Đời Sống","Women Clothes",,
"set thú","Nhà Cửa & Đời Sống","Women Clothes",,
"máy tiệt trùng fatz","Mẹ & Bé","Moms, Kids & Babies","Moms, Kids & Babies","Moms, Kids & Babies"
"tcs thái hà","Sức Khỏe & Sắc Đẹp","Home & Living",,
"màu nâu lạnh ánh khói","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"trungnguyenlegend","Bách Hoá Online","Grocery",,
"aloins","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"bia sài gòn xanh","Bách Hóa Online","Grocery","Grocery",
"mi max 3","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"dàn áo future neo","Xe Máy","Automotive","Automotive",
"dàn áo future neo","Xe Máy","Automotive","Automotive",
"xiaomi redmi note 7","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories","Mobile & Accessories"
"bể bơi cho bé","Mẹ & Bé","Toys","Toys","Toys"
"nots","Sức Khỏe & Sắc Đẹp","Health & Beauty",,
"sách tiếng anh lớp 9","Nhà Sách Online","Books","Books",
"tạ đơn","Thể Thao & Du Lịch","Sports & Outdoors","Sports & Outdoors","Sports & Outdoors"
"converse 1970s","Giày Dép Nữ","Women Shoes","Women Shoes","Women Shoes"
"tủ nhựa cho bé","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"hoa sen trắng","Nhà Cửa & Đời Sống","Home & Living",,
"màu khói","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"màu khói","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"màu khói","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"màu khói","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"gấu bông pikachu","Mẹ & Bé","Toys","Toys","Toys"
"hộp chụp ảnh sản phẩm","Máy ảnh - Máy quay phim","Cameras","Cameras","Cameras"
"giày mlb chính hãng","Giày Dép Nữ","Women Shoes","Women Shoes",
"bàn để máy tính","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"cao hồng sâm hàn quốc","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"tĩnh lặng","Nhà Sách Online","Books",,
"sữa bột nguyên kem","Bách Hoá Online","Grocery","Grocery","Grocery"
"áo ngực dán","Thời Trang Nữ","Women Clothes","Women Clothes","Women Clothes"
"sữa glucerna","Bách Hoá Online","Grocery","Grocery","Grocery"
"sữa glucerna","Bách Hoá Online","Grocery","Grocery","Grocery"
"áo bodysuit","Thời Trang Nữ","Women Clothes","Women Clothes",
"ắc quy xe máy","Ô tô - xe máy - xe đạp","Automotive","Automotive",
"lịch để bàn 2021","Nhà Sách Online","Books","Books","Books"
"ống gen co nhiệt","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"máy bơm tăng áp","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"hạt cho mèo","Chăm sóc thú cưng","Pet Supplies","Pet Supplies","Pet Supplies"
"hắc xì dầu","Bách Hóa Online","Grocery","Grocery","Grocery"
"kamen rider ex aid","Nhà Sách Online","Toys","Toys",
"bóng đèn năng lượng mặt trời","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"pin tai nghe bluetooth","Thiết Bị Điện Tử","Consumer Electronics","Consumer Electronics","Consumer Electronics"
"bàn chải điện cho bé","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"lg v30","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories","Mobile & Accessories"
"tả dán sơ sinh","Mẹ & Bé","Moms, Kids & Babies","Moms, Kids & Babies",
"bột bánh bao","Bách Hóa Online","Grocery","Grocery",
"sơn hà lệnh","Đồ Chơi","Books","Health & Beauty","Books"
"htc u11","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"ví da","Túi Ví","Men Clothes","Men Clothes","Men Clothes"
"forever","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"bánh trung thu","Bách Hoá Online","Grocery","Grocery",
"quần zin","Thời Trang Nam","Men Clothes","Women Clothes",
"quần zin","Thời Trang Nam","Men Clothes","Women Clothes",
"giày sneaker nam trắng","Giày Dép Nam","Men Shoes","Men Shoes","Women Shoes"
"tủ sach","Nhà Cửa & Đời Sống","Home & Living",,
"hàu vương ox","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"khẩu trang chống độc","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"kian pee wan","Sức Khỏe & Sắc Đẹp","Grocery","Grocery","Grocery"
"vitamin c balance","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"khử thâm môi","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"hoodie essentials","Thời Trang Nam","Men Clothes","Men Clothes",
"k30 ultra","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"chân bàn sắt","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"thuốc bôi nhiệt miệng","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"kem body trắng da","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"máy điều hoà mini","Thiết Bị Điện Gia Dụng","Home Appliances","Home Appliances",
"bếp từ xiaomi","Thiết Bị Điện Gia Dụng","Home Appliances","Home Appliances","Home Appliances"
"áo thun đồng phục","Thời Trang Nữ","Men Clothes","Men Clothes","Men Clothes"
"airpod pro 4","Thiết Bị Điện Tử","Consumer Electronics","Consumer Electronics",
"máy tính fx 570","Máy tính & Laptop","Books","Books",
"tý quậy","Others","Books","Books",
"dây bạc nam","Thời Trang Nam","Men Clothes","Men Clothes","Men Clothes"
"máng đèn led","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"pô akrapovic","Ô tô - xe máy - xe đạp","Automotive","Automotive",
"áo khoác siêu nhân gao","Thời Trang Trẻ Em","Men Clothes","Men Clothes",
"tui juno","Túi Ví","Bags","Bags",
"tui juno","Túi Ví","Bags","Bags",
"kindle oasis","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"giường sắt giá rẻ","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"cặp mcm","Túi Ví","Bags","Bags",
"phô mai trái cây","Mẹ & Bé","Moms, Kids & Babies","Moms, Kids & Babies",
"thuốc chống say rượu","Sức Khỏe & Sắc Đẹp",,"Health & Beauty",
"sọc ngựa cánh tiên","Chăm sóc thú cưng","Pet Supplies","Pet Supplies",
"kichmen plus","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"mascara nongchat","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"l cystine","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"quả chay","Bách Hóa Online","Grocery","Grocery",
"xoi","Nhà Cửa & Đời Sống",,"Home & Living",
"ba kich","Bách Hoá Online","Grocery","Grocery",
"bình cứu hỏa mini","Nhà Cửa & Đời Sống","Automotive","Automotive",
"tiếng anh 9","Nhà Sách Online","Books","Books",
"tượng địa tạng vương bồ tát","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"máy lọc nước aqua","Thiết Bị Điện Gia Dụng","Home Appliances","Home Appliances",
"cbr","Ô tô - xe máy - xe đạp","Automotive","Automotive",
"gối tựa đầu oto","Ô Tô","Automotive","Automotive","Automotive"
"phép màu","Others",,"Books",
"bấm giờ rubik","Đồ Chơi","Toys","Toys",
"bấm giờ rubik","Đồ Chơi","Toys","Toys",
"ps4 hack","Thiết Bị Điện Tử","Consumer Electronics","Consumer Electronics",
"máy lạnh mitsubishi","Thiết Bị Điện Gia Dụng","Home Appliances","Home Appliances",
"máy đo nồng độ oxy trong máu","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"cánh quạt senko","Thiết Bị Điện Gia Dụng","Home Appliances","Home Appliances","Home Appliances"
"gậy tự vệ","Thể Thao & Du Lịch",,"Sports & Outdoors",
"levi's","Thời Trang Nam","Women Clothes","Men Clothes",
"asta","Nhà Sách Online","Toys","Men Clothes",
"tranh tráng gương","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"giày hồng thạnh","Giày Dép Nữ","Women Shoes","Women Shoes",
"xiaomi vietnam","Thiết Bị Điện Tử","Home & Living","Home & Living",
"xám khói","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"oppo a91","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"giường gấp gỗ","Nhà Cửa & Đời Sống","Home & Living",,
"nutriboost","Bách Hóa Online","Grocery","Grocery","Grocery"
"shoppee.vn","Thời Trang Nữ",,"Grocery",
"mặt nạ derm all matrix","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"sim 3g 1 năm","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"sữa rửa mặt loreal","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"rubik giá rẻ","Đồ Chơi","Toys","Toys",
"ghế nằm xem tivi","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"câu chuyện thiếu niên","Nhà Sách Online","Books",,
"móng chân đẹp","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"cánh hoa trôi giữa hoàng triều","Nhà Sách Online","Home & Living","Books",
"váy maxi đi biển cho người béo","Thời Trang Nữ","Women Clothes","Women Clothes",
"vải felt","Nhà Cửa & Đời Sống","Home & Living","Women Clothes",
"pin xs max","Others","Mobile & Accessories","Mobile & Accessories",
"pin xs max","Others","Mobile & Accessories","Mobile & Accessories",
"zeno 5","Thể Thao & Du Lịch","Sports & Outdoors","Mobile & Accessories",
"ốp lưng s8 plus","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories","Mobile & Accessories"
"bỉm bejoyie","Mẹ & Bé","Moms, Kids & Babies","Moms, Kids & Babies","Moms, Kids & Babies"
"viettel store","Platform Terms (Shopee/ Lazada)",,"Mobile & Accessories",
"viettel store","Thiết Bị Điện Tử",,"Mobile & Accessories",
"kem chống nắng cnp","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"kem chống nắng cnp","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"loz","Others",,"Toys",
"carbomango","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"pin ip 11","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"puma vietnam","Giày Dép Nam","Kid's Fashion",,
"trứng rung tình yêu","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"but bi","Nhà Sách Online","Books","Books","Books"
"bschool","Nhà Sách Online","Books",,
"nồi chiên không dầu philips hd9220","Thiết Bị Điện Gia Dụng","Home Appliances","Home Appliances","Home Appliances"
"sách giáo khoa lớp 4","Nhà Sách Online","Books",,
"tsubasa","Nhà Sách Online","Books","Books",
"vitamin c nhật","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"dầu húng chanh","Mẹ & Bé","Moms, Kids & Babies","Moms, Kids & Babies","Moms, Kids & Babies"
"nail noel","Sức Khỏe & Sắc Đẹp","Health & Beauty",,
"cỏ mèo","Chăm sóc thú cưng","Pet Supplies","Pet Supplies","Pet Supplies"
"bánh trứng muối đài loan","Bách Hoá Online","Grocery","Grocery","Grocery"
"kính 3d","Điện Thoại & Phụ Kiện","Consumer Electronics","Consumer Electronics",
"colorkey","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"son perfect diary","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"mưa","Thể Thao & Du Lịch",,"Grocery",
"in phao","Máy tính & Laptop",,"Sports & Outdoors",
"giàn phơi thông minh hòa phát","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"vivo 1820","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"lego doraemon","Đồ Chơi","Toys","Toys","Toys"
"lego doraemon","Đồ Chơi","Toys","Toys","Toys"
"lưới lan che nắng","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"ngũ cốc calbee","Bách Hoá Online","Grocery","Grocery","Grocery"
"cuộc chiến của các vị thần","Others","Books","Books",
"hantai","Others",,"Home & Living",
"kết cục của nhân vật phản diện chỉ có thể là cái chết","Others","Books",,
"lebenlang","Thiết Bị Điện Gia Dụng","Home Appliances","Home Appliances",
"dầu gội jasunny","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"horimiya","Nhà Sách Online","Home & Living","Home & Living",
"bia sài gòn gold","Bách Hóa Online","Grocery","Grocery",
"bình siêu tốc","Thiết Bị Điện Gia Dụng","Home Appliances","Home Appliances","Home Appliances"
"mic karaoke","Thiết Bị Điện Tử","Consumer Electronics","Consumer Electronics","Consumer Electronics"
"bia tươi","Bách Hóa Online","Grocery","Grocery",
"giảm cân cenly","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"sữa mộc châu","Bách Hoá Online","Grocery","Grocery",
"cnp laboratory","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"seimy","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"kem chống nắng vichy","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"ghế chân quỳ lưới","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"thẻ nhớ camera","Điện Thoại & Phụ Kiện","Cameras","Cameras","Cameras"
"điện toại","Điện Thoại & Phụ Kiện","Mobile & Accessories",,
"điện thoại cho người già","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories","Mobile & Accessories"
"xe máy điện","Ô tô - xe máy - xe đạp","Automotive","Automotive",
"kẹo hubba bubba","Bách Hóa Online","Grocery","Grocery","Grocery"
"tủ điện ngoài trời","Thiết Bị Điện Gia Dụng","Home & Living","Home & Living",
"keycap artisan","Máy tính & Laptop","Toys","Computer & Laptop",
"whipping cream","Bách Hoá Online","Grocery","Grocery","Grocery"
"bộ phát wifi không dây","Máy tính & Laptop","Computer & Laptop","Computer & Laptop",
"kẹo dẻo haribo","Bách Hóa Online","Grocery","Grocery",
"vr box","Điện Thoại & Phụ Kiện","Consumer Electronics","Consumer Electronics",
"nhiệt kế microlife","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"watson","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"đồ chơi gỗ","Mẹ & Bé","Toys","Toys","Toys"
"vải áo dài thái tuấn","Thời Trang Nữ","Women Clothes","Women Clothes",
"mặt nạ vàng 24k","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"iphone xs","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"giày bóng chuyền","Thể Thao & Du Lịch","Sports & Outdoors","Sports & Outdoors","Men Shoes"
"ấm trà","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"bàn phím dell","Máy tính & Laptop","Computer & Laptop","Computer & Laptop","Computer & Laptop"
"giày converse chính hãng","Giày Dép Nữ","Women Shoes","Men Shoes",
"giày converse chính hãng","Giày Dép Nữ","Women Shoes","Men Shoes",
"pin 2a","Thiết Bị Điện Gia Dụng","Home & Living","Cameras","Home & Living"
"catnip","Chăm sóc thú cưng","Pet Supplies","Pet Supplies","Pet Supplies"
"cọc tiếp địa","Thiết Bị Điện Gia Dụng","Home & Living","Home & Living",
"bút bi thiên long","Nhà Sách Online","Books","Books","Books"
"kem dưỡng trắng da mặt","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"mèo bông","Đồ Chơi","Toys","Toys","Toys"
"trứng rung","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"luyện siêu trí nhớ từ vựng tiếng anh","Nhà Sách Online","Books","Books",
"gtx 650","Thiết Bị Điện Tử","Computer & Laptop","Computer & Laptop",
"nồi lẩu nướng đa năng","Thiết Bị Điện Gia Dụng","Home Appliances","Home Appliances",
"nivea","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
